T/F: depression is the seventh most common disorder identified and treated in general practice in Australia,"False, depression is the fourth most common disorder identified and treated in general practice in Australia"
T/F: the incidence of depressive illness is increasing,"True, the incidence of depressive illness is increasing across all demographic areas"
T/F: the Australian Mental Health Survey estimates that 4% of adults have had a depressive disorder in the past month,"True, the Australian Mental Health Survey estimates that 4% of adults have had a depressive disorder in the past month"
T/F: studies show that 3% of patients who consult a GP have clinical depression,"False, studies show that 7% of patients who consult a GP have clinical depression, which may coexist with an anxiety or substance abuse disorder"
T/F: either depressed mood or loss of pleasure from previously pleasurable activities is a requirement for the diagnosis of major depressive disorder,"True, at least one of depressed mood or anhedonia is required to meet DSM-IV-TR criteria for major depressive disorder"
T/F: Symptoms need to be present for two weeks for a diagnosis of major depressive episode according to the DSM-IV-TR classification,"True, symptoms need to be present for at least two weeks for a diagnosis of major depressive episode according to the DSM-IV-TR classification"
"T/F: to make the diagnosis of depression, the core features of a depressive episode must be present every day and persistent throughout the day","False, the core features of a depressive episode should be present most days for most of the day, although patients can brighten up for short period if something pleasurable occurs"
T/F: depression should be subdivided into endogenous and exogenous depression,"False, these traditional categories are no longer seen as helpful or relevant, as depression is now known to be precipitated by a complex interplay between genetic and physiological factors as well as psychosocial stressors"
T/F: hypersomnia and weight gain are common features in atypical depression,"True, atypical depression defines a set of symptoms in which hypersomnia and weight gain are common features"
T/F: psychotic depression is uncommon in the elderly,"False, psychotic depression is common in the elderly."
Name 2 of the classic presentations of psychotic depression in the elderly.,"Nihilistic delusions, where patients believe that parts of their body have died or rotted away. Delusions of guilt and poverty, which may result in in them living in squalor or deprived social means because of this fixed belief."
T/F: atypical depression is more common in women than in men,"True, atypical depression is more common in women than men"
Atypical depression is the more common presentation in patients with which associated affective disorder?,Seasonal affective disorder
T/F: early morning waking is a particular feature of severe melancholic depression,"True, waking habitually 2-3 hours before the usual time and not being able to get back to sleep is a particular feature of severe 'melancholic' depression"
"T/F: in the differential diagnosis of depression, physical illnesses as a cause of depression need to be considered","True, physical causes of depressed mood such as hypothyroidism should always be considered"
T/F: alcohol and illicit substance use as a cause of depression need to be considered,"True, while in practice it can be difficult to establish primacy of mood disturbance versus an organic contributor, physical health issues should always be assessed and treated in their own right"
"T/F: if there is abrupt onset of a severe depression, especially in a young person, bipolar disorder should be considered","True, bipolar depression is a very important differential diagnosis, as there are profound treatment implications, not least of which is that exposure to antidepressants might precipitate mania and/or cause cycle acceleration"
"T/F: in the differential diagnosis of depression, family history is not of relevance to enquire about","False, a family history, particularly of bipolar disorder, would significantly influence the differential diagnosis"
T/F: the presence of suicidal thoughts or plans must be ascertained in any depresssed patient,"True, the presence of suicidal thoughts or plans must be ascertained in any depressed patient"
T/F: a person's risk of suicide can be increased by discussing the risks in an open manner,"False, there is no good evidence that a person's risk of suicide can be increased by discussing things in an open manner"
T/F: alcohol and drug use is an important risk factor for suicide,"True, alcohol and drug use is an important risk factor for suicide"
"T/F: factors associated with increased risk of suicidal ideation include being female, younger, unemployed or separated/divorced","False, factors associated with increased risk of suicidal ideation include being male, older unemployed or separated/divorced"
T/F: having a chronic medical illness is an additional risk factor for the development of suicidal ideation,"True, having a chronic medical illness is an additional risk factor for the development of suicidal ideation"
T/F: all patients prescribed antidepressants should be informed about the delayed onset of effect,"True, though whether there is in fact a delay in onset of action remains controversial"
T/F: the frequency of side effects of antidepressants remains the same throughout treatment ,"False, most side effects are early onset and time limited (about 1-2 weeks)"
T/F: it is important to emphasise to emphasuise the problems associated with abruptly stopping or reducing the dose of antidepressants,"True, it is important to emphasise the problems associated with abruptly stopping or reducing the dose of antidepressants"
Name 5 common symptoms abruptly discontinuing an antidepressant,"Nausea, dizziness, paraesthesia, anxiety and headache."
T/F: withdrawal phenomena are potentially more severe with drugs that have a long half-life,"False, withdrawal effects are potentially more severe in drugs that have a short half-life such as paroxetine, venlafaxine and fluvoxamine"
T/F: recent studies have suggested that serotonergic-noradrenergic antidepressant drugs seem to have greater efficacy compared to SSRIs in depression,"True, recent studies have suggested that serotonergic-noradrenergic drugs, such as venlaxfaxine, mirtazapine and duloxetine, seem to have greater efficacy in depression than SSRIs"
Name 3 serotonergic-noradrenergic antidepressants,"Venlaxfaxine, mirtazapine and duloxetine"
"T/F: tricyclic antidepressants are less favourable in treating depression, as they are less effective than the newer agents ","False, tricyclic antidepressants are less favourable, not because they are less effective than the newer agents, but because they are more dangerous in overdose and less well tolerated "
T/F: serotonin and noradrenaline reuptake inhibitors should not be prescribed to patients with severe or uncontrolled hypertension ,"True. Blood pressure should be checked initially and regularly during treatment, particularly during dosage titration."
T/F: recent data suggest SSRIs may increase the risk of GI bleeding. ,"True, this is due to action on serotonin release from platelets. The risk is significantly increased when an SSRI is combined with an NSAID or low-dose aspirin."
